test_image,known_image,is_match
test_1.jpg,known_1.jpg,False
test_2.jpg,known_2.jpg,True
test_3.jpg,known_3.jpg,False
test_4.jpg,known_4.jpg,True
test_5.jpg,known_5.jpg,False
test_6.jpg,known_6.jpg,True
test_7.jpg,known_7.jpg,False
test_8.jpg,known_8.jpg,True
test_9.jpg,known_9.jpg,False
test_10.jpg,known_0.jpg,True
test_11.jpg,known_1.jpg,False
test_12.jpg,known_2.jpg,True
test_13.jpg,known_3.jpg,False
test_14.jpg,known_4.jpg,True
test_15.jpg,known_5.jpg,False
test_16.jpg,known_6.jpg,True
test_17.jpg,known_7.jpg,False
test_18.jpg,known_8.jpg,True
test_19.jpg,known_9.jpg,False
test_20.jpg,known_0.jpg,True
